goos: linux
goarch: amd64
pkg: github.com/opencoff/go-sieve
cpu: 13th Gen Intel(R) Core(TM) i9-13900
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_1-32         	16632062	        68.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_1-32         	16770620	        69.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_4-32         	 8189457	       145.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_4-32         	 8150980	       144.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_4-32         	 8237905	       141.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_16-32        	16482782	        65.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_16-32        	16433463	        71.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_16-32        	17402485	        71.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_64-32        	63170458	        19.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_64-32        	63633356	        19.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_64-32        	62928357	        19.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_256-32       	188708449	         6.389 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_256-32       	175003107	         6.603 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_256-32       	188704516	         6.318 ns/op	       0 B/op	       0 allocs/op
